query,street1,street2,city,lat,long,formatted_address
"Oak & 70 Ave, Vancouver, BC",Oak,70 Ave,Vancouver,49.208447,-123.130254,"W 70th Ave & Oak St, Vancouver, BC V6P 4B3, Canada"
"Bay 14 & Ubc Loop, Vancouver, BC",Bay 14,Ubc Loop,Vancouver,49.2671797,-123.2486487,"UBC Exchange Bay 3, UBC Bus Exchange, Wesbrook Mall, UBC, BC V6T 2B9, Canada"
"59 Ave & Oak, Vancouver, BC",59 Ave,Oak,Vancouver,49.217111,-123.129293,"W 59th Ave & Oak St, Vancouver, BC V6P, Canada"
"51 Ave & Oak, Vancouver, BC",51 Ave,Oak,Vancouver,49.2247948,-123.1283984,"W 51st Ave & Oak St, Vancouver, BC V6P 1C2, Canada"
"North Rd & Clark, Coquitlam, BC",North Rd,Clark,Coquitlam,49.2681119,-122.8817634,"Clarke Rd, Coquitlam, BC, Canada"
"59 Ave & Oak, Vancouver, BC",59 Ave,Oak,Vancouver,49.217111,-123.129293,"W 59th Ave & Oak St, Vancouver, BC V6P, Canada"
"41 Ave & Granville, Vancouver, BC",41 Ave,Granville,Vancouver,49.2343405,-123.1396258,"Granville St & W 41st Ave, Vancouver, BC V6M 1X7, Canada"
"Dunsmuir & Burrard, Vancouver, BC",Dunsmuir,Burrard,Vancouver,49.2855457,-123.1193954,"Burrard St & Dunsmuir St, Vancouver, BC V6C, Canada"
"Curzon & Blundell, Richmond, BC",Curzon,Blundell,Richmond,49.155579,-123.1508566,"Blundell Rd & Curzon St, Richmond, BC V7C 1H8, Canada"
"Skeena & Hastings, Vancouver, BC",Skeena,Hastings,Vancouver,49.2811182,-123.0283059,"E Hastings St & Skeena St, Vancouver, BC V5K 2A7, Canada"
"68 Ave & Granville, Vancouver, BC",68 Ave,Granville,Vancouver,49.2105113,-123.1404567,"Granville St & W 68th Ave, Vancouver, BC V6P 4Z7, Canada"
