street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
Kootenay St,W Hastings St,Vancouver,2020-01-13 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2868523,-123.1162812,"W Hastings St, Vancouver, BC, Canada"
Alma St,W Broadway St,Vancouver,2020-01-12 00:00:00,Collisions With Objects,2006,Wf,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
National Ave,Station St,Vancouver,2020-01-12 00:00:00,Collisions With Objects,2019,Gm,49.2733558,-123.098563,"Station St, Vancouver, BC V6A, Canada"
Church St,Joyce St,Vancouver,2020-01-12 00:00:00,Collisions With Objects,2007,Nov,49.23710879999999,-123.0328869,"Joyce St, Vancouver, BC V5R, Canada"
Nan,Knight St Bridge,Vancouver,2020-01-12 00:00:00,Collisions With Objects,2007,Nov,49.203238,-123.0775817,"Knight St Bridge, Vancouver, BC, Canada"
Nan,Kootenay Loop Bay 3-4,Burnaby,2020-01-12 00:00:00,Collisions With Objects (At G/C),2008,Nov,49.2814044,-123.0262357,"Kootenay Loop @ Bay 3, Vancouver, BC V5K, Canada"
Hornby St,Davie St,Vancouver,2020-01-11 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2803931,-123.1311967,"Davie St, Vancouver, BC, Canada"
Nan,Nanaimo Stn,Vancouver,2020-01-10 00:00:00,Collisions With Objects,2009,Nov,49.2454543,-123.0566531,"Nanaimo St, Vancouver, BC, Canada"
Madison Ave,Hastings St,Burnaby,2020-01-10 00:00:00,Collisions With Other Vehicles,2007,Nov,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
200 St,64 Ave,Langley,2020-01-10 00:00:00,Collisions With People,2019,Wf,49.11904,-122.6665906,"64 Ave, Langley, BC, Canada"
Granville St,Robson St,Vancouver,2020-01-09 00:00:00,Collisions With People,2006,Wf,49.28600669999999,-123.1269807,"Robson St, Vancouver, BC, Canada"
Adanac St,Commercial Dr,Vancouver,2020-01-09 00:00:00,Collisions With Objects,2007,Wf,49.2691439,-123.0696654,"Commercial Dr, Vancouver, BC, Canada"
Nan,Scottsdale Exchange,Surrey,2020-01-09 00:00:00,Collisions With Objects,2017,Gm,49.1375979,-122.8880298,"Scottsdale Exchange Bay 3, Surrey, BC V3W, Canada"
Clark Dr,W Broadway,Vancouver,2020-01-08 00:00:00,Collisions With Other Vehicles,2018,Wf,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Fraser St,Marine Dr,Vancouver,2020-01-08 00:00:00,Collisions With Other Vehicles (At G/C),2007,Wf,49.2301474,-123.1801473,"SW Marine Dr, British Columbia, Canada"
Nan,Vtc Depot,Vancouver,2020-01-08 00:00:00,Collisions With Other Vehicles (At G/C),2018,Nov,49.2019705,-123.1372064,"9149 Hudson St, Vancouver, BC V6P 4N5, Canada"
Hwy 1,Fern St,North Vancouver,2020-01-08 00:00:00,Collisions With Objects,2007,Nov,49.3114871,-123.0289632,"Fern St, North Vancouver, BC V7J, Canada"
Edge St,Dewdney Trunk Rd,Maple Ridge,2020-01-08 00:00:00,Collisions With Other Vehicles,2014,Wf,49.2200324,-122.458975,"Dewdney Trunk Rd, British Columbia, Canada"
Cumberland St,16 Ave,Burnaby,2020-01-07 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2261946,-122.9285023,"16th Ave, Burnaby, BC V3N, Canada"
8900 Blk,King George Blvd,Surrey,2020-01-07 00:00:00,Collisions With People,2018,Wf,49.1076089,-122.8350549,"King George Blvd, Surrey, BC, Canada"
91A Off-Ramp,Westminster Hwy,Richmond,2020-01-06 00:00:00,Collisions With Objects,2009,Nov,49.1702999,-123.0781832,"Westminster Hwy, Richmond, BC, Canada"
Boundary Rd,Kincaid St,Burnaby,2020-01-06 00:00:00,Collisions With Objects,2018,Nov,49.2488019,-123.0170309,"Kincaid St, Burnaby, BC, Canada"
Nan,Surrey Central Stn,Surrey,2020-01-06 00:00:00,Collisions With Objects,2018,Wf,49.1896129,-122.8479484,"Surrey Central Station, 14479 106 Ave, Surrey, BC V3R 1S9, Canada"
W 41 Ave,Granville St,Vancouver,2020-01-05 00:00:00,Collisions With Objects,2008,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Langley St,Armstrong Ave,Burnaby,2020-01-05 00:00:00,Collisions With Other Vehicles,2016,Wf,49.2327125,-122.9096698,"Armstrong Ave, Burnaby, BC V3N, Canada"
Bute St,Robson St,Vancouver,2020-01-04 00:00:00,Collisions With Other Vehicles,2006,Wf,49.28600669999999,-123.1269807,"Robson St, Vancouver, BC, Canada"
Oak St,Marine Dr,Vancouver,2020-01-03 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2301474,-123.1801473,"SW Marine Dr, British Columbia, Canada"
Abbott St,W Pender St,Vancouver,2020-01-03 00:00:00,Collisions With Objects,2018,Nov,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
