street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
Hwy 17,Ladner Trunk Rd,Delta,2020-03-03 00:00:00,Collisions With Other Vehicles,2018,Wf,49.0899639,-122.9900302,"Ladner Trunk Rd, Delta, BC, Canada"
Waterloo St,E 4Th Ave,Vancouver,2020-03-02 00:00:00,Collisions With Other Vehicles,2018,Nov,49.2673889,-123.104712,"E 4th Ave & W 4th Ave, Vancouver, BC V5Y 1G2, Canada"
Nan,Nan,Nan,2020-02-29 00:00:00,Collisions With Other Vehicles,2018,Nov,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
203A St,Logan Ave,Langley,2020-02-29 00:00:00,Collisions With Other Vehicles,2006,Wf,49.1084592,-122.6600278,"Logan Ave, Langley City, BC V3A, Canada"
Buchanan St,Willingdon Ave,Burnaby,2020-02-29 00:00:00,Collisions With Objects,2008,Nov,49.2504925,-123.00441,"Willingdon Ave, Burnaby, BC, Canada"
Kingsway,W Broadway,Vancouver,2020-02-28 00:00:00,Collisions With Other Vehicles,2018,Wf,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Beta Ave,Canada Way,Burnaby,2020-02-26 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2421346,-122.9692543,"Canada Way, Burnaby, BC, Canada"
Thurlow St,W Georgia St,Vancouver,2020-02-25 00:00:00,Collisions With Other Vehicles,2009,Wf,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Gilley Ave,Kingsway,Burnaby,2020-02-24 00:00:00,Collisions With Objects,2009,Nov,49.2326697,-123.0185233,"Kingsway, British Columbia, Canada"
Mackay Ave,Marine Dr,North Vancouver,2020-02-23 00:00:00,Collisions With Other Vehicles,2007,Nov,49.3221225,-123.0971961,"Marine Dr, North Vancouver, BC, Canada"
Matheson Cres,Se Marine Dr,Burnaby,2020-02-21 00:00:00,Collisions With Other Vehicles,2016,Wf,49.2123255,-123.1065519,"SW Marine Dr & SE Marine Dr, Vancouver, BC V5X, Canada"
Nan,Surrey Central Loop,Surrey,2020-02-21 00:00:00,Collisions With Objects,2018,Wf,49.1893835,-122.8478254,"10309-10321 City Pkwy, Surrey, BC V3T 4Y8, Canada"
Westminster Hwy,No. 3 Rd,Richmond,2020-02-20 00:00:00,Collisions With Other Vehicles,2009,Nov,49.1532687,-123.1366635,"Number 3 Rd, Richmond, BC, Canada"
Bay 2,Joyce Stn,Vancouver,2020-02-20 00:00:00,Collisions With Other Vehicles (At G/C),2008,Nov,49.2370957,-123.0328071,"5258 Joyce St, Vancouver, BC V5R 6C9, Canada"
W 18 Ave,Dunbar St,Vancouver,2020-02-20 00:00:00,Collisions With Objects,2009,Nov,49.249012,-123.185207,"Dunbar St, Vancouver, BC, Canada"
Dunsmuir St,Granville St,Vancouver,2020-02-19 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Hawks Ave,W Hastings St,Vancouver,2020-02-19 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2868523,-123.1162812,"W Hastings St, Vancouver, BC, Canada"
Windsor St,Lonsdale Ave,North Vancouver,2020-02-18 00:00:00,Collisions With Other Vehicles,2007,Nov,49.32312289999999,-123.0723529,"Lonsdale Ave, North Vancouver, BC, Canada"
Ladner Trunk Rd,80 Ave,Delta,2020-02-18 00:00:00,Collisions With Other Vehicles,2017,Gm,49.1483885,-122.8790635,"80 Ave, British Columbia, Canada"
E Blvd,E 41 Ave,Vancouver,2020-02-17 00:00:00,Collisions With Objects,2009,Nov,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Gatineau Pl,Austin Rd,Burnaby,2020-02-16 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2490076,-122.8952326,"Austin Rd, Burnaby, BC, Canada"
Dunsmuir St,Howes St,Vancouver,2020-02-16 00:00:00,Collisions With Objects,2007,Nov,49.2807469,-123.1227452,"Howe St, Vancouver, BC, Canada"
Nan,Nan,Surrey,2020-02-16 00:00:00,Collisions With Other Vehicles,2018,Wf,49.1913466,-122.8490125,"Surrey, BC, Canada"
Lonsdale Quay,Carrie Cates Crt,North Vancouver,2020-02-15 00:00:00,Collisions With Objects (At G/C),2007,Nov,49.31109499999999,-123.0816482,"Carrie Cates Ct, North Vancouver, BC V7M, Canada"
Macdonald St,E 41St Ave,Vancouver,2020-02-14 00:00:00,Collisions With Other Vehicles,2019,Wf,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Kerr St,E 49 Ave,Vancouver,2020-02-14 00:00:00,Collisions With Objects,2016,Wf,49.2257397,-123.105945,"W 49th Ave & E 49th Ave, Vancouver, BC V5Y 2Z6, Canada"
Raymur St,Venables St,Vancouver,2020-02-14 00:00:00,Collisions With Other Vehicles,2018,Nov,49.2765698,-123.0572819,"Venables St, Vancouver, BC, Canada"
Nan,Granville St Bridge,Vancouver,2020-02-14 00:00:00,Collisions With Objects,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
E Blvd,E 41 Ave,Vancouver,2020-02-14 00:00:00,Collisions With Objects,2018,Wf,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
W Georgia St,Granville St,Vancouver,2020-02-13 00:00:00,Collisions With Objects,2019,Chev,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Nanaimo Stn,Nanaimo St,Vancouver,2020-02-13 00:00:00,Collisions With Objects,2018,Nov,49.2454543,-123.0566531,"Nanaimo St, Vancouver, BC, Canada"
Lonsdale Quay Loop,Nan,North Vancouver,2020-02-12 00:00:00,Collisions With Other Vehicles (At G/C),2008,Nov,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
Birch St,W Broadway,Vancouver,2020-02-12 00:00:00,Collisions With Other Vehicles,2009,Wf,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
E 41 Ave,Victoria Dr,Vancouver,2020-02-11 00:00:00,Collisions With Other Vehicles,2007,Wf,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Se Marine Dr,Knight St,Vancouver,2020-02-11 00:00:00,Collisions With Objects,2007,Nov,49.2276691,-123.0772497,"Knight St, Vancouver, BC, Canada"
Lamey'S Mill Rd,Granville St Bridge,Vancouver,2020-02-11 00:00:00,Collisions With Objects,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Cambie St,W Broadway,Vancouver,2020-02-11 00:00:00,Collisions With Other Vehicles,2006,Wf,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Nan,Gatineau Pl,Burnaby,2020-02-11 00:00:00,Collisions With Objects (At G/C),2019,Adl,49.2480573,-122.8942777,"Gatineau Pl, Burnaby, BC V3J, Canada"
W 33Rd Ave,Granville St,Vancouver,2020-02-11 00:00:00,Collisions With Objects,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Nan,Sfu Exchange,Burnaby,2020-02-10 00:00:00,Collisions With Other Vehicles (At G/C),2007,Wf,49.2786311,-122.9129661,"SFU Transit Exchange, Burnaby, BC V5A, Canada"
W Georgia St,Cambie St,Vancouver,2020-02-10 00:00:00,Collisions With Other Vehicles,2007,Nov,49.24022230000001,-123.1178489,"Cambie St, Vancouver, BC, Canada"
Cambie St,Sw Marine Dr,Vancouver,2020-02-10 00:00:00,Collisions With Other Vehicles,2007,Wf,49.2301474,-123.1801473,"SW Marine Dr, British Columbia, Canada"
Nan,South Surrey Park And Ride,Surrey,2020-02-07 00:00:00,Collisions With Objects,2001,Obi,49.0721037,-122.8218102,"King George Blvd, Surrey, BC V3T 5H9, Canada"
54 St,4 Ave,Delta,2020-02-07 00:00:00,Collisions With Objects,2018,Nov,49.0100793,-123.0789607,"4 Ave, Delta, BC, Canada"
Minto Cres,Granville St,Vancouver,2020-02-06 00:00:00,Collisions With Objects,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Howe St,W Pender St,Vancouver,2020-02-06 00:00:00,Collisions With Other Vehicles,2009,Nov,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Southridge Dr,Marine Dr,Burnaby,2020-02-06 00:00:00,Collisions With Objects,2016,Wf,49.2066776,-122.9870011,"Marine Dr, Burnaby, BC, Canada"
Slocan St,Clarendon St,Vancouver,2020-02-06 00:00:00,Collisions With Objects,2007,Nov,49.2317827,-123.0552171,"Clarendon St, Vancouver, BC, Canada"
W Georgia St,Burrard St,Vancouver,2020-02-06 00:00:00,Collisions With Objects,2018,Nov,49.2759934,-123.1337743,"Burrard St, Vancouver, BC, Canada"
