experience,cost_centre,in_probation,preventables_year,incidents_year,number_incidents,number_preventables,number_non_recordables,number_non_preventables,total_hours_last3yr,last_preventable_date,incidents_1957
>60 Months,VTC,N,1.12,3.93,14,4,NA,9,6977.93,2020-01-23T00:00:00Z,27398
>60 Months,VTC,N,1.41,4.23,12,4,NA,4,5548.31,2019-05-23T00:00:00Z,23484
>60 Months,VTC,N,0.82,1.64,4,2,NA,2,4764.54,2019-10-15T00:00:00Z,7828
>60 Months,VTC,N,0,1.1,3,NA,NA,3,5347.09,NA,5871
>60 Months,VTC,N,0.22,2.39,11,1,NA,6,9011.88,2019-06-24T00:00:00Z,21527
>60 Months,VTC,N,0,2.05,8,NA,NA,6,7643.69,NA,15656
>60 Months,VTC,N,0.36,0.72,2,1,NA,NA,5413.42,2017-05-31T00:00:00Z,3914
>60 Months,VTC,N,0.72,1.43,4,2,NA,2,5466.93,2019-11-19T00:00:00Z,7828
>60 Months,VTC,N,0.93,2.8,6,2,NA,4,4194.97,2019-09-25T00:00:00Z,11742
>60 Months,VTC,N,0.42,1.66,4,1,2,1,4712.14,2017-10-03T00:00:00Z,7828
>60 Months,VTC,N,0.38,1.15,3,1,NA,1,5122.23,2019-03-03T00:00:00Z,5871
>60 Months,VTC,N,0.67,2.02,6,2,NA,4,5822.48,2019-04-30T00:00:00Z,11742
>60 Months,VTC,N,0,2.83,7,NA,NA,7,4841.91,NA,13699
>60 Months,VTC,N,1.17,7.58,26,4,1,12,6715.08,2019-08-11T00:00:00Z,50882
>60 Months,VTC,N,0.64,4.45,14,2,NA,8,6156.61,2018-12-10T00:00:00Z,27398
>60 Months,VTC,N,0.82,1.23,3,2,NA,NA,4766.02,2019-03-29T00:00:00Z,5871
>60 Months,VTC,N,0,1.17,3,NA,NA,1,5004.12,NA,5871
>60 Months,VTC,N,0.32,0.64,2,1,NA,1,6120.93,2017-01-25T00:00:00Z,3914
>60 Months,VTC,N,0,2.65,7,NA,2,5,5160.66,NA,13699
>60 Months,VTC,N,0.76,3.04,4,1,NA,2,2576.81,2018-07-05T00:00:00Z,7828
>60 Months,VTC,N,0.78,1.56,4,2,NA,2,5011.06,2017-10-10T00:00:00Z,7828
>60 Months,VTC,N,1.06,5.67,16,3,NA,11,5519.97,2019-08-14T00:00:00Z,31312
>60 Months,VTC,N,0,3.47,9,NA,NA,8,5075.97,NA,17613
>60 Months,VTC,N,0,2.47,8,NA,NA,4,6337.02,NA,15656
>60 Months,VTC,N,1.4,2.8,8,4,NA,3,5596.07,2019-04-29T00:00:00Z,15656
>60 Months,VTC,N,0.67,1.34,4,2,NA,1,5854.15,2018-12-26T00:00:00Z,7828
>60 Months,VTC,N,0.48,3.85,8,1,1,4,4062.69,2017-01-05T00:00:00Z,15656
>60 Months,VTC,N,0.38,1.13,3,1,NA,NA,5173.52,2018-11-30T00:00:00Z,5871
>60 Months,VTC,N,0,1.64,4,NA,NA,2,4763.96,NA,7828
>60 Months,VTC,N,0,2.96,8,NA,1,7,5283.78,NA,15656
>60 Months,VTC,N,0,1.77,5,NA,1,3,5524.92,NA,9785
>60 Months,VTC,N,0.81,1.89,7,3,NA,4,7239.9,2019-10-03T00:00:00Z,13699
>60 Months,VTC,N,0.38,3.75,10,1,NA,3,5214.04,2019-07-13T00:00:00Z,19570
>60 Months,VTC,N,0,1.15,4,NA,NA,4,6793.75,NA,7828
>60 Months,VTC,N,0,0.42,1,NA,NA,1,4635.44,NA,1957
>60 Months,VTC,N,0.29,1.43,5,1,NA,2,6837.23,2017-03-03T00:00:00Z,9785
>60 Months,VTC,N,0.32,2.27,7,1,NA,5,6045.35,2019-12-01T00:00:00Z,13699
>60 Months,VTC,N,0,0.39,1,NA,NA,1,5069.21,NA,1957
>60 Months,VTC,N,0,1,3,NA,NA,1,5898.87,NA,5871
>60 Months,VTC,N,0.36,6.88,19,1,NA,7,5404.89,2017-07-14T00:00:00Z,37183
>60 Months,VTC,N,0.66,2.3,7,2,1,4,5950.12,2017-12-24T00:00:00Z,13699
>60 Months,VTC,N,0,3.95,14,NA,2,9,6936.18,NA,27398
>60 Months,VTC,N,0.3,0.6,2,1,NA,1,6557.68,2019-01-30T00:00:00Z,3914
>60 Months,VTC,N,0.27,1.35,5,1,NA,3,7240.6,2018-12-30T00:00:00Z,9785
>60 Months,VTC,N,0.32,1.95,6,1,NA,5,6030.05,2019-08-27T00:00:00Z,11742
>60 Months,VTC,N,0.8,2.92,11,3,1,5,7360.47,2018-07-26T00:00:00Z,21527
>60 Months,VTC,N,0.31,2.51,8,1,NA,6,6230.2,2019-06-25T00:00:00Z,15656
>60 Months,VTC,N,0.31,0.92,3,1,NA,1,6372.59,2017-12-18T00:00:00Z,5871
>60 Months,VTC,N,0,0.35,1,NA,NA,NA,5577.07,NA,1957
>60 Months,VTC,N,0,2.29,7,NA,NA,3,5983.5,NA,13699
>60 Months,VTC,N,0,0.69,2,NA,NA,1,5655.39,NA,3914
>60 Months,VTC,N,0.36,2.54,7,1,NA,5,5387.83,2019-10-09T00:00:00Z,13699
>60 Months,VTC,N,0.35,0.7,2,1,NA,NA,5597.99,2018-03-02T00:00:00Z,3914
>60 Months,VTC,N,0,0.37,1,NA,NA,1,5237.18,NA,1957
>60 Months,VTC,N,0,1.74,6,NA,NA,5,6733.56,NA,11742
>60 Months,VTC,N,0.33,3.64,11,1,1,8,5906.52,2019-10-29T00:00:00Z,21527
>60 Months,VTC,N,0,0.33,1,NA,NA,1,5872.93,NA,1957
>60 Months,VTC,N,0,0.94,3,NA,NA,2,6265.12,NA,5871
>60 Months,VTC,N,0,0.97,3,NA,NA,2,6033.35,NA,5871
>60 Months,VTC,N,0,1.39,4,NA,NA,3,5613.5,NA,7828
>60 Months,VTC,N,0.26,1.28,5,1,NA,1,7649.01,2018-11-15T00:00:00Z,9785
>60 Months,VTC,N,0.75,4.9,13,2,NA,6,5186.78,2018-07-25T00:00:00Z,25441
>60 Months,VTC,N,0.65,6.19,19,2,2,14,6005.46,2019-01-24T00:00:00Z,37183
