experience,cost_centre,in_probation,preventables_year,incidents_year,number_incidents,number_preventables,number_non_recordables,number_non_preventables,total_hours_last3yr,last_preventable_date,incidents_1957
>60 Months,VTC,N,0,0.89,2,NA,NA,2,4412.84,NA,3914
>60 Months,VTC,N,1.37,4.45,13,4,2,5,5722.85,2019-05-20T00:00:00Z,25441
>60 Months,VTC,N,0.69,2.07,6,2,NA,2,5676.26,2019-11-01T00:00:00Z,11742
>60 Months,VTC,N,0.56,3.09,11,2,NA,8,6965.42,2017-06-17T00:00:00Z,21527
>60 Months,VTC,N,0.86,5.58,13,2,1,8,4559.42,2019-03-28T00:00:00Z,25441
>60 Months,VTC,N,0,3.18,10,NA,NA,8,6162.03,NA,19570
>60 Months,VTC,N,0,1.88,5,NA,NA,5,5197.87,NA,9785
>60 Months,VTC,N,0,1.3,5,NA,NA,5,7520.96,NA,9785
>60 Months,VTC,N,0.6,2.41,8,2,NA,6,6493.16,2019-09-04T00:00:00Z,15656
>60 Months,VTC,N,0,1.15,3,NA,NA,1,5104.06,NA,5871
>60 Months,VTC,N,0.38,0.38,1,1,NA,NA,5105.23,2017-02-15T00:00:00Z,1957
>60 Months,VTC,N,0.29,1.76,6,1,NA,4,6683.63,2018-03-24T00:00:00Z,11742
>60 Months,VTC,N,0.67,2,6,2,NA,2,5881.76,2019-12-31T00:00:00Z,11742
>60 Months,VTC,N,0.74,2.21,6,2,NA,4,5306.4,2018-04-12T00:00:00Z,11742
>60 Months,VTC,N,0.84,1.26,3,2,NA,NA,4666.09,2019-02-18T00:00:00Z,5871
>60 Months,VTC,N,0.57,1.71,3,1,NA,1,3429.17,2019-09-11T00:00:00Z,5871
>60 Months,VTC,N,0.4,0.79,2,1,NA,1,4944.48,2018-03-12T00:00:00Z,3914
>60 Months,VTC,N,0,1.05,3,NA,NA,1,5607.65,NA,5871
>60 Months,VTC,N,0,1.06,3,NA,NA,3,5562.96,NA,5871
>60 Months,VTC,N,0,0.91,3,NA,NA,3,6451.48,NA,5871
>60 Months,VTC,N,0,0.4,1,NA,NA,1,4906.23,NA,1957
>60 Months,VTC,N,0,2.03,6,NA,NA,4,5793.82,NA,11742
>60 Months,VTC,N,0.59,3.86,13,2,1,8,6591.84,2018-01-28T00:00:00Z,25441
>60 Months,VTC,N,0.68,3.05,9,2,NA,3,5767.86,2019-11-20T00:00:00Z,17613
>60 Months,VTC,N,0.27,2.39,9,1,1,4,7364.66,2018-02-22T00:00:00Z,17613
>60 Months,VTC,N,0,3.15,9,NA,NA,8,5583.82,NA,17613
>60 Months,VTC,N,0,2.35,9,NA,NA,6,7509.03,NA,17613
>60 Months,VTC,N,0.29,1.72,6,1,NA,4,6831.05,2018-09-15T00:00:00Z,11742
>60 Months,VTC,N,0,1.78,4,NA,NA,3,4410.06,NA,7828
>60 Months,VTC,N,0.99,1.98,6,3,NA,3,5937.99,2019-01-07T00:00:00Z,11742
>60 Months,VTC,N,0.29,2.65,9,1,NA,6,6634.65,2019-08-10T00:00:00Z,17613
>60 Months,VTC,N,0.32,0.65,2,1,NA,NA,6060.04,2017-02-26T00:00:00Z,3914
>60 Months,VTC,N,0,0.35,1,NA,NA,1,5579.83,NA,1957
>60 Months,VTC,N,0,1.03,3,NA,NA,3,5688.48,NA,5871
>60 Months,VTC,N,0.74,1.49,4,2,NA,2,5269.96,2019-03-25T00:00:00Z,7828
>60 Months,VTC,N,0.31,2.2,7,1,NA,3,6239.33,2019-07-22T00:00:00Z,13699
>60 Months,VTC,N,0,3.51,9,NA,1,7,5014.52,NA,17613
>60 Months,VTC,N,0.27,2.97,11,1,NA,10,7236.39,2017-02-13T00:00:00Z,21527
>60 Months,VTC,N,0,0.74,2,NA,NA,2,5272.25,NA,3914
>60 Months,VTC,N,0,1.52,5,NA,NA,5,6452.55,NA,9785
>60 Months,VTC,N,0.58,1.15,2,1,NA,1,3396.92,2018-11-13T00:00:00Z,3914
>60 Months,VTC,N,0.65,2.6,8,2,NA,6,6023.64,2018-12-11T00:00:00Z,15656
>60 Months,VTC,N,0,3.15,12,NA,NA,8,7465.01,NA,23484
>60 Months,VTC,N,0,3.13,12,NA,NA,9,7508.32,NA,23484
>60 Months,VTC,N,0.83,1.67,2,1,NA,1,2347.17,2018-05-28T00:00:00Z,3914
>60 Months,VTC,N,0.33,2.93,9,1,NA,5,6015.26,2018-12-04T00:00:00Z,17613
>60 Months,VTC,N,0.67,3.02,9,2,NA,7,5824.88,2020-02-14T00:00:00Z,17613
>60 Months,VTC,N,0,0.81,1,NA,NA,1,2402.66,NA,1957
>60 Months,VTC,N,0,1.48,3,NA,NA,1,3969.15,NA,5871
>60 Months,VTC,N,0,3.03,9,NA,NA,8,5811.11,NA,17613
>60 Months,VTC,N,0,0.69,2,NA,NA,1,5679.67,NA,3914
>60 Months,VTC,N,0.63,2.81,9,2,NA,1,6261.01,2019-03-04T00:00:00Z,17613
>60 Months,VTC,N,0.34,1.69,5,1,NA,4,5796.67,2017-01-27T00:00:00Z,9785
>60 Months,VTC,N,0.95,4.76,10,2,NA,6,4112.33,2018-11-19T00:00:00Z,19570
>60 Months,VTC,N,0.29,4.28,15,1,1,8,6854.95,2017-05-23T00:00:00Z,29355
>60 Months,VTC,N,0.71,3.57,10,2,NA,6,5484.03,2019-05-01T00:00:00Z,19570
>60 Months,VTC,N,0,1.47,4,NA,NA,4,5342.92,NA,7828
>60 Months,VTC,N,0.41,2.87,7,1,NA,4,4770.58,2017-10-13T00:00:00Z,13699
>60 Months,VTC,N,0,1.55,1,NA,NA,NA,1264.28,NA,1957
>60 Months,VTC,N,0,1.14,3,NA,NA,1,5137.07,NA,5871
>60 Months,VTC,N,0,0.96,3,NA,NA,3,6088.74,NA,5871
>60 Months,VTC,N,0,1.06,3,NA,NA,3,5522.54,NA,5871
>60 Months,VTC,N,0,1.29,4,NA,NA,3,6063.12,NA,7828
>60 Months,VTC,N,0,0.86,2,NA,NA,2,4561.3,NA,3914
>60 Months,VTC,N,0.85,2.84,10,3,NA,5,6892.61,2020-02-17T00:00:00Z,19570
>60 Months,VTC,N,1.03,3.42,10,3,1,5,5725.71,2018-03-10T00:00:00Z,19570
>60 Months,VTC,N,1.25,4.38,14,4,1,7,6254.95,2019-03-18T00:00:00Z,27398
>60 Months,VTC,N,0,3.44,2,NA,NA,1,1138.16,NA,3914
>60 Months,VTC,N,0,5.06,14,NA,NA,13,5417.43,NA,27398
>60 Months,VTC,N,0,2.36,7,NA,NA,4,5799.09,NA,13699
>60 Months,VTC,N,0.31,2.16,7,1,NA,6,6332.84,2019-10-23T00:00:00Z,13699
>60 Months,VTC,N,0.37,1.83,5,1,NA,3,5334.53,2018-10-20T00:00:00Z,9785
>60 Months,VTC,N,1.01,2.03,6,3,NA,3,5788.78,2020-03-02T00:00:00Z,11742
>60 Months,VTC,N,1.36,5.79,17,4,1,9,5743.55,2019-07-29T00:00:00Z,33269
>60 Months,VTC,N,0,2.78,8,NA,NA,6,5632.22,NA,15656
>60 Months,VTC,N,1.03,10.82,21,2,NA,15,3796.92,2018-10-03T00:00:00Z,41097
>60 Months,VTC,N,0,2.59,7,NA,NA,7,5279.09,NA,13699
>60 Months,VTC,N,0,0.95,2,NA,NA,1,4109.72,NA,3914
>60 Months,VTC,N,0,2.88,8,NA,NA,7,5441.22,NA,15656
>60 Months,VTC,N,1.4,2.81,8,4,NA,4,5577.13,2020-02-13T00:00:00Z,15656
>60 Months,VTC,N,0.32,5.14,16,1,NA,13,6092.72,2019-07-03T00:00:00Z,31312
>60 Months,VTC,N,0,0.72,2,NA,NA,1,5424.63,NA,3914
>60 Months,VTC,N,1.13,1.51,4,3,NA,1,5196.63,2019-12-21T00:00:00Z,7828
>60 Months,VTC,N,0,2.47,5,NA,1,4,3968.73,NA,9785
>60 Months,VTC,N,0.32,2.22,7,1,NA,5,6182.65,2017-04-19T00:00:00Z,13699
>60 Months,VTC,N,0,2.77,8,NA,NA,5,5649.48,NA,15656
>60 Months,VTC,N,0.37,0.37,1,1,NA,NA,5300.88,2018-06-01T00:00:00Z,1957
>60 Months,VTC,N,0.35,2.47,7,1,1,4,5553.57,2018-10-02T00:00:00Z,13699
>60 Months,VTC,N,0.69,1.39,4,2,NA,2,5644.36,2018-09-11T00:00:00Z,7828
>60 Months,VTC,N,0,4.68,13,NA,NA,9,5434.29,NA,25441
>60 Months,VTC,N,0,2.64,8,NA,NA,7,5935.46,NA,15656
>60 Months,VTC,N,0.57,2.28,8,2,NA,6,6863.89,2017-04-27T00:00:00Z,15656
>60 Months,VTC,N,0.39,1.95,5,1,1,3,5022.83,2019-09-24T00:00:00Z,9785
>60 Months,VTC,N,0.28,3.69,13,1,NA,10,6903.81,2018-08-13T00:00:00Z,25441
>60 Months,VTC,N,1.18,2.75,7,3,NA,4,4983.46,2019-10-29T00:00:00Z,13699
>60 Months,VTC,N,1.05,3.5,10,3,NA,6,5591.3,2020-01-04T00:00:00Z,19570
>60 Months,VTC,N,0,1.36,4,NA,NA,3,5764.03,NA,7828
>60 Months,VTC,N,0,1.67,5,NA,NA,3,5851.63,NA,9785
>60 Months,VTC,N,0,1.19,3,NA,NA,3,4950.89,NA,5871
>60 Months,VTC,N,0.37,2.98,8,1,NA,7,5260.62,2018-07-04T00:00:00Z,15656
>60 Months,VTC,N,0.59,1.46,5,2,NA,2,6689.51,2018-06-01T00:00:00Z,9785
>60 Months,VTC,N,0,2.33,7,NA,NA,5,5881,NA,13699
>60 Months,VTC,N,0,2.97,8,NA,NA,8,5276.64,NA,15656
>60 Months,VTC,N,0,1.42,4,NA,NA,4,5498.4,NA,7828
>60 Months,VTC,N,1.35,1.69,5,4,NA,1,5792.58,2020-01-21T00:00:00Z,9785
>60 Months,VTC,N,0,2.84,8,NA,NA,7,5519.73,NA,15656
>60 Months,VTC,N,0.78,1.56,4,2,NA,NA,5031.89,2017-04-07T00:00:00Z,7828
>60 Months,VTC,N,0.28,0.55,2,1,NA,1,7074.32,2019-04-06T00:00:00Z,3914
>60 Months,VTC,N,0,2.01,4,NA,1,2,3891.83,NA,7828
>60 Months,VTC,N,0,4.05,13,NA,NA,10,6281.86,NA,25441
>60 Months,VTC,N,1.7,6.08,25,7,3,15,8042.85,2020-01-09T00:00:00Z,48925
>60 Months,VTC,N,0.41,1.22,3,1,NA,1,4827.11,2019-09-23T00:00:00Z,5871
>60 Months,VTC,N,0,0.36,1,NA,NA,1,5506.43,NA,1957
>60 Months,VTC,N,0,2.67,7,NA,1,6,5136.24,NA,13699
>60 Months,VTC,N,0.75,1.49,4,2,NA,2,5249.5,2018-10-31T00:00:00Z,7828
>60 Months,VTC,N,0,0.6,1,NA,NA,1,3239.88,NA,1957
>60 Months,VTC,N,0,3.2,9,NA,NA,8,5497.15,NA,17613
>60 Months,VTC,N,0.28,1.38,5,1,NA,3,7084.81,2017-06-20T00:00:00Z,9785
>60 Months,VTC,N,0.32,1.61,5,1,NA,4,6084.42,2018-02-06T00:00:00Z,9785
>60 Months,VTC,N,0,0.82,2,NA,NA,1,4778.63,NA,3914
>60 Months,VTC,N,0.63,3.14,10,2,NA,7,6223.83,2018-03-22T00:00:00Z,19570
>60 Months,VTC,N,0.98,3.93,12,3,NA,6,5982.88,2020-01-12T00:00:00Z,23484
>60 Months,VTC,N,0,2.22,7,NA,NA,6,6176.93,NA,13699
>60 Months,VTC,N,0,3.64,12,NA,NA,10,6444.16,NA,23484
>60 Months,VTC,N,0,0.69,2,NA,NA,2,5666.99,NA,3914
>60 Months,VTC,N,0.35,0.69,2,1,NA,NA,5659.44,2017-07-02T00:00:00Z,3914
>60 Months,VTC,N,0.29,1.75,6,1,NA,3,6702.6,2017-09-11T00:00:00Z,11742
>60 Months,VTC,N,0,1.24,3,NA,NA,2,4738.16,NA,5871
>60 Months,VTC,N,0,0.88,2,NA,1,NA,4437.21,NA,3914
>60 Months,VTC,N,0.31,2.18,7,1,1,4,6273.04,2019-02-21T00:00:00Z,13699
>60 Months,VTC,N,0,0.6,2,NA,NA,2,6504.66,NA,3914
>60 Months,VTC,N,0,2.18,7,NA,NA,6,6291.45,NA,13699
>60 Months,VTC,N,1.28,4.27,10,3,NA,7,4581.29,2019-02-22T00:00:00Z,19570
>60 Months,VTC,N,0.47,4.2,9,1,NA,3,4195.44,2017-08-24T00:00:00Z,17613
>60 Months,VTC,N,1.16,2.71,7,3,NA,4,5048.27,2020-01-10T00:00:00Z,13699
>60 Months,VTC,N,1.14,1.51,4,3,NA,NA,5172.35,2019-01-21T00:00:00Z,7828
>60 Months,VTC,N,0.65,1.94,3,1,NA,1,3021.22,2017-05-04T00:00:00Z,5871
>60 Months,VTC,N,0,0.41,1,NA,NA,NA,4766.25,NA,1957
>60 Months,VTC,N,0,2.43,7,NA,NA,4,5636.96,NA,13699
>60 Months,VTC,N,0,4.51,9,NA,1,8,3908.96,NA,17613
>60 Months,VTC,N,0,2.08,6,NA,NA,6,5638.8,NA,11742
>60 Months,VTC,N,0.36,1.07,3,1,NA,2,5500.58,2019-11-12T00:00:00Z,5871
>60 Months,VTC,N,0,1.36,4,NA,NA,3,5746.7,NA,7828
>60 Months,VTC,N,0,2.68,6,NA,NA,5,4379.72,NA,11742
>60 Months,VTC,N,0.87,3.47,8,2,NA,6,4510.39,2019-10-17T00:00:00Z,15656
>60 Months,VTC,N,0.7,2.81,8,2,NA,6,5578.46,2019-12-25T00:00:00Z,15656
>60 Months,VTC,N,0,1.79,5,NA,NA,4,5469.18,NA,9785
>60 Months,VTC,N,0.64,2.86,9,2,NA,6,6162.3,2020-02-11T00:00:00Z,17613
>60 Months,VTC,N,0.36,3.59,10,1,NA,6,5451.54,2018-06-05T00:00:00Z,19570
>60 Months,VTC,N,0.37,2.59,7,1,1,2,5299.13,2017-08-23T00:00:00Z,13699
>60 Months,VTC,N,0,2.85,10,NA,NA,4,6859.04,NA,19570
>60 Months,VTC,N,0.71,3.53,10,2,1,4,5546.46,2018-03-25T00:00:00Z,19570
>60 Months,VTC,N,1.43,4.28,12,4,NA,8,5486.62,2019-04-25T00:00:00Z,23484
>60 Months,VTC,N,1.03,2.06,6,3,NA,2,5686.57,2017-06-21T00:00:00Z,11742
>60 Months,VTC,N,0,1.45,4,NA,NA,2,5393.81,NA,7828
>60 Months,VTC,N,0.68,4.4,13,2,NA,7,5779.19,2019-12-05T00:00:00Z,25441
>60 Months,VTC,N,0.54,5.38,10,1,NA,4,3634.22,2018-01-11T00:00:00Z,19570
>60 Months,VTC,N,0,0.75,2,NA,1,1,5225.88,NA,3914
>60 Months,VTC,N,0,2.7,6,NA,NA,4,4350.76,NA,11742
>60 Months,VTC,N,0,0.33,1,NA,NA,NA,6014.7,NA,1957
>60 Months,VTC,N,0.69,4.82,14,2,1,5,5680.55,2019-05-14T00:00:00Z,27398
>60 Months,VTC,N,2.06,6.88,20,6,NA,5,5691.65,2019-09-19T00:00:00Z,39140
>60 Months,VTC,N,0,1.7,2,NA,NA,1,2303.18,NA,3914
>60 Months,VTC,N,0.72,1.45,4,2,NA,2,5411.16,2019-08-17T00:00:00Z,7828
>60 Months,VTC,N,0.34,3.02,9,1,NA,6,5835.46,2018-11-08T00:00:00Z,17613
>60 Months,VTC,N,0.32,1.91,6,1,NA,3,6157.57,2017-12-30T00:00:00Z,11742
>60 Months,VTC,N,1.65,3.63,11,5,NA,5,5934.83,2019-11-08T00:00:00Z,21527
>60 Months,VTC,N,0.28,1.66,6,1,NA,4,7081.83,2017-07-09T00:00:00Z,11742
>60 Months,VTC,N,0,3.38,10,NA,NA,5,5783.57,NA,19570
>60 Months,VTC,N,0.91,8.22,27,3,NA,22,6426.03,2019-03-15T00:00:00Z,52839
>60 Months,VTC,N,0.71,4.97,14,2,1,7,5511.29,2018-03-16T00:00:00Z,27398
>60 Months,VTC,N,0.28,3.97,14,1,NA,8,6900.9,2018-07-14T00:00:00Z,27398
>60 Months,VTC,N,0,1.33,4,NA,NA,4,5897.88,NA,7828
>60 Months,VTC,N,0.68,2.37,7,2,1,3,5771.29,2017-07-26T00:00:00Z,13699
>60 Months,VTC,N,0.37,5.91,16,1,NA,13,5297.32,2019-09-09T00:00:00Z,31312
>60 Months,VTC,N,0,0.38,1,NA,NA,1,5144.88,NA,1957
>60 Months,VTC,N,1.07,2.14,6,3,NA,3,5497.69,2018-10-11T00:00:00Z,11742
>60 Months,VTC,N,0.36,1.07,3,1,NA,NA,5502.26,2019-07-08T00:00:00Z,5871
>60 Months,VTC,N,1.1,5.12,14,3,NA,9,5353.85,2019-04-18T00:00:00Z,27398
>60 Months,VTC,N,0,0.34,1,NA,NA,NA,5759.03,NA,1957
>60 Months,VTC,N,0,1.45,4,NA,NA,4,5402.87,NA,7828
>60 Months,VTC,N,1.55,4.25,11,4,NA,4,5062.45,2019-08-22T00:00:00Z,21527
>60 Months,VTC,N,0.97,3.22,10,3,NA,4,6081.51,2019-11-05T00:00:00Z,19570
>60 Months,VTC,N,0.67,3.68,11,2,1,7,5846.7,2019-08-29T00:00:00Z,21527
>60 Months,VTC,N,0,1.47,4,NA,NA,4,5329.92,NA,7828
>60 Months,VTC,N,1.11,2.97,8,3,NA,3,5276.74,2019-01-30T00:00:00Z,15656
>60 Months,VTC,N,0.41,2.43,6,1,NA,1,4830.1,2018-04-25T00:00:00Z,11742
>60 Months,VTC,N,0,0.31,1,NA,NA,NA,6261.53,NA,1957
>60 Months,VTC,N,0,2.18,6,NA,NA,5,5379.37,NA,11742
>60 Months,VTC,N,0.33,1.33,4,1,NA,3,5883.32,2018-05-07T00:00:00Z,7828
>60 Months,VTC,N,0.76,1.14,3,2,NA,1,5148.81,2018-06-01T00:00:00Z,5871
>60 Months,VTC,N,0.39,2.35,6,1,NA,5,4994.93,2018-03-19T00:00:00Z,11742
>60 Months,VTC,N,0.4,4.4,11,1,NA,9,4889.21,2018-02-01T00:00:00Z,21527
>60 Months,VTC,N,1.14,1.51,4,3,NA,NA,5170.92,2019-01-15T00:00:00Z,7828
>60 Months,VTC,N,0.36,1.81,5,1,NA,3,5400.02,2020-02-19T00:00:00Z,9785
>60 Months,VTC,N,0,3.56,10,NA,NA,10,5499.08,NA,19570
>60 Months,VTC,N,0,4.28,12,NA,NA,12,5487.49,NA,23484
>60 Months,VTC,N,0,1.44,4,NA,1,3,5436.33,NA,7828
>60 Months,VTC,N,0,1.71,4,NA,NA,3,4582.56,NA,7828
>60 Months,VTC,N,0.41,3.65,9,1,NA,8,4828.01,2017-02-22T00:00:00Z,17613
>60 Months,VTC,N,0.75,1.5,4,2,NA,2,5233.85,2019-08-01T00:00:00Z,7828
>60 Months,VTC,N,0.72,1.43,4,2,NA,2,5457.48,2019-06-03T00:00:00Z,7828
>60 Months,VTC,N,0.36,0.71,2,1,NA,1,5507.17,2017-02-06T00:00:00Z,3914
>60 Months,VTC,N,0.69,3.81,11,2,NA,7,5654.76,2017-09-13T00:00:00Z,21527
>60 Months,VTC,N,1.05,2.11,6,3,NA,2,5566.83,2019-06-05T00:00:00Z,11742
>60 Months,VTC,N,0.78,3.5,9,2,2,2,5032.8,2017-09-04T00:00:00Z,17613
>60 Months,VTC,N,0,4.81,13,NA,1,10,5287.52,NA,25441
>60 Months,VTC,N,0,0.36,1,NA,NA,NA,5368.48,NA,1957
>60 Months,VTC,N,0,2.33,8,NA,NA,8,6707.23,NA,15656
>60 Months,VTC,N,0.33,7.25,22,1,NA,15,5936.2,2019-04-09T00:00:00Z,43054
>60 Months,VTC,N,0,3.36,13,NA,NA,11,7577.17,NA,25441
>60 Months,VTC,N,0.31,6.15,20,1,3,13,6359.74,2019-11-23T00:00:00Z,39140
>60 Months,VTC,N,0.32,1.27,4,1,NA,3,6186.62,2019-08-24T00:00:00Z,7828
>60 Months,VTC,N,0.34,2.36,7,1,1,5,5808.11,2018-02-05T00:00:00Z,13699
>60 Months,VTC,N,0,3.58,10,NA,NA,7,5470.99,NA,19570
>60 Months,VTC,N,0.63,1.57,5,2,NA,2,6240.8,2018-12-01T00:00:00Z,9785
>60 Months,VTC,N,1.55,4.26,11,4,NA,6,5052.55,2019-09-13T00:00:00Z,21527
>60 Months,VTC,N,0.65,2.26,7,2,NA,5,6055.12,2018-08-01T00:00:00Z,13699
>60 Months,VTC,N,0.35,1.76,5,1,NA,3,5569.62,2019-08-02T00:00:00Z,9785
>60 Months,VTC,N,0.37,2.62,7,1,NA,3,5225.93,2019-07-02T00:00:00Z,13699
>60 Months,VTC,N,0,2.2,6,NA,NA,6,5338.97,NA,11742
>60 Months,VTC,N,0.48,1.43,3,1,NA,1,4091.65,2019-06-04T00:00:00Z,5871
>60 Months,VTC,N,0.43,2.15,5,1,NA,4,4548.54,2019-07-13T00:00:00Z,9785
>60 Months,VTC,N,2.44,5.86,12,5,NA,6,4010.64,2018-11-13T00:00:00Z,23484
>60 Months,VTC,N,1.6,5.62,14,4,NA,8,4877.27,2019-12-30T00:00:00Z,27398
>60 Months,VTC,N,0,2.66,7,NA,NA,6,5155.32,NA,13699
>60 Months,VTC,N,0.52,4.14,8,1,NA,5,3778.8,2019-11-29T00:00:00Z,15656
>60 Months,VTC,N,0.65,2.27,7,2,NA,3,6037.78,2017-08-31T00:00:00Z,13699
>60 Months,VTC,N,0.65,1.62,5,2,NA,3,6032.65,2019-02-25T00:00:00Z,9785
>60 Months,VTC,N,0.36,2.86,8,1,NA,6,5468.59,2019-10-18T00:00:00Z,15656
>60 Months,VTC,N,0,1.95,5,NA,1,3,5018.37,NA,9785
>60 Months,VTC,N,0,1.75,5,NA,NA,5,5589.19,NA,9785
>60 Months,VTC,N,0,1.84,5,NA,NA,4,5306.51,NA,9785
>60 Months,VTC,N,0.92,0.92,3,3,NA,NA,6384.75,2019-12-10T00:00:00Z,5871
